Feature Extractor,Classification Model,Accuracy,Precision,Recall (Sensitivity),Specificity,F1-Score,ROC-AUC,Optimal Threshold
VGG16,Gradient Boosting,0.5934,0.463,0.0247,0.9805,0.0469,0.5342,0.5
DenseNet201,Gradient Boosting,0.5924,0.4564,0.0336,0.9728,0.0626,0.5318,0.5
DenseNet201,Random Forest,0.59,0.4677,0.0894,0.9308,0.1501,0.541,0.5
ResNet50,Gradient Boosting,0.5882,0.3559,0.0207,0.9745,0.0392,0.5399,0.5
VGG16,Random Forest,0.5838,0.4532,0.1338,0.8901,0.2066,0.5334,0.5
ResNet50,Random Forest,0.581,0.4583,0.1901,0.8471,0.2688,0.539,0.5
VGG16,CNN,0.5672,0.4482,0.2968,0.7513,0.3571,0.524,0.5035
DenseNet201,CNN,0.554,0.4443,0.404,0.6561,0.4232,0.5317,0.5282
DenseNet201,CNN-SVM,0.5284,0.4127,0.3886,0.6235,0.4003,0.5116,0.5
ResNet50,CNN-SVM,0.525,0.4233,0.477,0.5576,0.4486,0.518,0.5
VGG16,CNN-SVM,0.517,0.4065,0.4188,0.5839,0.4126,0.5098,0.5
ResNet50,CNN,0.5146,0.4328,0.6395,0.4296,0.5162,0.5346,0.4089
